id,lon,lat,region,country,tce.10.20,tce.10.25,tce.20.25,tce.30.25,tce.10.30,tce.10.mean,tce.20.mean,tce.30.mean,cloud,albedo,lai,lai2,gdp,prec,solar,vpd,ws,mswx_prec,mswx_solar,mswx_vpd,mswx_ws,trend_lai,sd
27303,43.8770862074362,56.3012792533119,EE,Russia,0.249497800953082,0.286281278129783,0.135646780149644,0.087624042247199,0.323064755306483,0.214188744548305,0.100135675492729,0.0642012978526839,0.536557844,0.121160001098245,0.771283076166667,0.883377152333333,0.327,313.346443633333,171.180121466667,0.511075723333333,1.01006904433333,279.054409898477,178.509008159089,0.459215142125925,3.03250934932438,0.013738209,4.130872999
27391,44.4749624955805,48.6468184614081,EE,Russia,0.171203844694178,0.210414597098624,0.100089071199615,0.0648147772349767,0.24962534950307,0.16978357559818,0.0806234757679424,0.0521658661139199,0.42974803675,0.138046523662028,0.6646184355,0.6507140065,0.0884,192.972268825,212.0144323,1.307185493,1.28205557725,181.19847644081,214.685194155137,1.15152999407504,3.35243865712966,0.001571368,46.52816322
27392,44.6626638048102,43.043385954337,EE,Russia,0.270645247468579,0.328220272944081,0.152685025071154,0.0976389837206703,0.385795298419583,0.218563662549099,0.102193335687509,0.0655452823666143,0.60867630475,0.120976556959925,0.885064526375,0.799147647,0.075525,681.115147,184.309650825,0.4514915595,0.4027665275,618.368043664384,181.876563921367,0.447237563937242,1.37861833078404,0.013084222,37.37551857
27420,44.8064386239068,48.7748637524521,EE,Russia,0.206527886849657,0.25487626737625,0.120225010665177,0.0774710789686193,0.303224647902843,0.228293634249503,0.107889941991936,0.0696024103477476,0.42270233975,0.136587010588894,0.6445457335,0.654454957,0.091325,146.9345602375,236.3294535,1.5038980055,1.3389277565,145.095466647982,239.843659499301,1.3257512539729,3.3124790052662,-0.003098333,7.072479965
27435,44.9787806757389,53.1871600385884,EE,Russia,0.192273428653802,0.200206070703051,0.0952469795410521,0.0616691978503034,0.208138712752301,0.187664447369737,0.0870177185022286,0.0555285578329771,0.48026025275,0.125063588490668,0.860010655375,0.81472125775,0.145,249.9268554,184.11359545,0.78182106175,0.99053367425,218.871344610092,187.57622907796,0.704816520257054,2.85348336849738,-0.008215824,24.46468442
27467,45.963648959697,51.5421342502257,EE,Russia,0.216041909931652,0.248759580377648,0.117620406631763,0.0758934957928933,0.281477250823644,0.199527191749698,0.0940062099588284,0.0605229295652082,0.471226274,0.130227356007686,0.7402879885,0.715385723333333,0.183666666666667,234.2711037,194.841437033333,0.867574972,1.30300939266667,215.246139510117,196.906267582545,0.763714557960559,3.05898339578265,0.007340285,40.30322858
27525,48.0491347756381,46.3399889119451,EE,Russia,0.172121750591169,0.189650286788844,0.0885201984344329,0.0561109820838816,0.207178822986519,0.179121004129988,0.0809981243066189,0.0498134191433824,0.4234616945,0.134737493932045,0.48043224825,0.377750232,0.157,132.34585015,217.7515292,1.465571573,1.144948319,119.374213836478,224.850762181312,1.21758340864032,3.3383123732213,0.007049036,2.845305677
27536,48.3290035961217,54.2973401735129,EE,Russia,0.190153608562407,0.253101269614028,0.120198479157914,0.0777497820797461,0.316048930665649,0.132046690314606,0.0625505389177308,0.0404257129651979,0.555048039333333,0.126676204540948,0.9094262525,0.929436861333333,0.179666666666667,288.633482633333,173.303692033333,0.601949884333333,1.37614275566667,251.343528368794,174.700848491479,0.560721460082161,3.33627733651628,0.004337588,31.11569421
27553,49.1331735268577,55.7998903059573,EE,Russia,0.230180433896873,0.247880088872847,0.117422907004922,0.0758474786761204,0.26557974384882,0.212997795071149,0.099076127185959,0.063505300915448,0.535111228,0.130337401477152,0.8241042975,0.915683528,0.34325,304.55446095,172.5735485,0.62030402975,1.23078815875,263.375239332604,173.701593436611,0.573874048508982,2.86137854022583,0.013703014,22.69724377
27570,49.6278327152266,58.6064354027573,EE,Russia,0.162592699366449,0.168938647985166,0.0810063147857153,0.0527020428927045,0.175284596603883,0.154490181282928,0.0729989747939169,0.0470848428044877,0.5338083455,0.130378190177389,0.92858137375,0.8650092045,0.1985,340.9744457,156.7903758,0.526325164,1.018461401,308.907649253731,165.613151436421,0.450504962145839,3.05205226952757,0.000826,16.53527186
27590,50.1935009099645,53.2193843518498,EE,Russia,0.159012325705247,0.175162420884661,0.0840727104523047,0.0547396630067009,0.191312516064074,0.147805896009161,0.0702971754076084,0.0455457996245556,0.473031484,0.128735798494687,0.70772425125,0.73456808225,0.499,239.2706149,189.21613235,0.88393517175,1.01136540575,241.469202898551,191.879005045131,0.824610807002735,2.9579287112623,0.003621023,36.96063504
